# atmos --saveVMR -z0[0.5]20[1]50 -fxy -o USstandard_500m.XY USstandard_50.xy
#
#what:   z    pressure temperature         air         H2O         CO2          O3         N2O          CO         CH4          O2          NO         SO2         NO2         NH3        HNO3          OH          HF         HCl         HBr          HI         ClO         OCS        H2CO        HOCl          N2         HCN       CH3Cl        H2O2        C2H2        C2H6         PH3         HO2
#units: km          mb           K     1/cm**3         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm         ppm
    27.000     18.8067     223.520   6.099e+17        4.54         330        5.66       0.162      0.0158           1    2.09e+05     0.00116    1.58e-05      0.0046    9.96e-09     0.00498    4.44e-06     0.00022    0.000731    1.75e-06       3e-06    7.58e-05    7.52e-05    6.93e-05    0.000173    7.81e+05    0.000107    0.000126    9.48e-05    4.97e-09    7.03e-06       1e-14    1.25e-05
    28.000      16.168     224.500    5.22e+17         4.6         330        5.95       0.156      0.0162       0.972    2.09e+05     0.00151     1.5e-05     0.00508    8.77e-09      0.0046    6.34e-06    0.000241    0.000798    1.79e-06       3e-06    0.000105    5.95e-05    7.51e-05    0.000196    7.81e+05    0.000103    9.74e-05     0.00011    3.78e-09    5.02e-06       1e-14     1.7e-05
    29.000     13.9115     225.500   4.471e+17        4.66         330        6.25       0.149      0.0167       0.943    2.09e+05     0.00198    1.42e-05     0.00562    7.56e-09     0.00417    9.02e-06    0.000262    0.000893    1.84e-06       3e-06    0.000145    4.46e-05    8.12e-05    0.000221    7.81e+05      0.0001    7.23e-05    0.000123    3.15e-09    3.58e-06       1e-14     2.3e-05
    30.000       11.97     226.500    3.83e+17        4.72         330        6.55       0.142      0.0171       0.914    2.09e+05     0.00245    1.34e-05     0.00616    6.35e-09     0.00374    1.17e-05    0.000283    0.000988     1.9e-06       3e-06    0.000185    2.96e-05    8.73e-05    0.000245    7.81e+05    9.73e-05    4.72e-05    0.000136    2.52e-09    2.14e-06       1e-14     2.9e-05
    31.000     10.1932     227.900   3.242e+17        4.76         330        6.88       0.132      0.0177        0.88    2.09e+05     0.00328    1.29e-05     0.00658    5.28e-09     0.00328    2.06e-05    0.000298      0.0011    2.04e-06       3e-06    0.000254    2.26e-05    9.28e-05    0.000265    7.81e+05    9.45e-05    3.55e-05    0.000136    2.26e-09    1.62e-06       1e-14     3.5e-05
    32.000      8.6801     229.300   2.744e+17         4.8         330        7.21       0.121      0.0182       0.847    2.09e+05     0.00411    1.24e-05       0.007    4.21e-09     0.00282    2.95e-05    0.000313     0.00122    2.19e-06       3e-06    0.000323    1.56e-05    9.83e-05    0.000286    7.81e+05    9.18e-05    2.38e-05    0.000136    1.99e-09    1.11e-06       1e-14     4.1e-05
    33.000     7.49513     231.300   2.349e+17        4.84         330        7.46       0.111      0.0188       0.813    2.09e+05     0.00505     1.2e-05     0.00722    3.31e-09      0.0024    4.39e-05    0.000326     0.00134    2.37e-06       3e-06    0.000387    1.05e-05    0.000103    0.000301    7.81e+05    8.92e-05    1.58e-05    0.000131    1.79e-09    7.48e-07       1e-14    4.88e-05
    34.000     6.56255     233.900   2.034e+17        4.87         330        7.65       0.102      0.0195        0.78    2.09e+05      0.0061    1.18e-05     0.00725    2.56e-09     0.00202    6.37e-05    0.000337     0.00145     2.6e-06       3e-06    0.000448    7.43e-06    0.000107    0.000311    7.81e+05    8.69e-05    1.16e-05    0.000122    1.66e-09    5.45e-07       1e-14    5.84e-05
    35.000       5.746     236.500   1.761e+17         4.9         330        7.84      0.0927      0.0201       0.746    2.09e+05     0.00714    1.16e-05     0.00728    1.82e-09     0.00164    8.35e-05    0.000348     0.00157    2.82e-06       3e-06    0.000508    4.31e-06    0.000111    0.000321    7.81e+05    8.46e-05    7.35e-06    0.000113    1.52e-09    3.42e-07       1e-14     6.8e-05
    36.000     5.04474     239.060   1.529e+17        4.92         330        7.82      0.0824      0.0209       0.712    2.09e+05     0.00802    1.18e-05     0.00687    1.46e-09     0.00137    0.000118    0.000358     0.00162    3.17e-06       3e-06    0.000548    3.23e-06    0.000112    0.000314    7.81e+05    8.28e-05    5.62e-06    0.000102    1.44e-09    2.59e-07       1e-14    7.36e-05
    37.000     4.42906     241.620   1.328e+17        4.94         330        7.81      0.0721      0.0218       0.679    2.09e+05      0.0089     1.2e-05     0.00646     1.1e-09      0.0011    0.000153    0.000367     0.00167    3.52e-06       3e-06    0.000587    2.14e-06    0.000113    0.000307    7.81e+05    8.11e-05    3.89e-06    9.07e-05    1.36e-09    1.76e-07       1e-14    7.92e-05
    38.000     3.85518     244.400   1.143e+17        4.97         330         7.7      0.0626      0.0228       0.642    2.09e+05     0.00971    1.24e-05     0.00581       8e-10    0.000881    0.000193    0.000377      0.0017    3.93e-06       3e-06    0.000605    1.41e-06    0.000111    0.000293    7.81e+05    7.94e-05    2.69e-06    8.08e-05    1.29e-09    1.18e-07       1e-14    8.52e-05
    39.000      3.3269     247.400   9.747e+16           5         330         7.5      0.0538      0.0239       0.603    2.09e+05      0.0105     1.3e-05     0.00492    5.47e-10    0.000707    0.000239    0.000386     0.00172    4.42e-06       3e-06      0.0006    1.04e-06    0.000107     0.00027    7.81e+05    7.79e-05       2e-06    7.23e-05    1.24e-09    8.59e-08       1e-14    9.16e-05
